Issue,Subject,Company,AI_Response,Area,Status,Type,Reasoning,Audit_Findings,Severity,Risk_Score,Privacy_Status
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,Out of Scope,"Identity management (SSO, JIT, SCIM)",escalated,product_issue,,Clean,Low,0,Clean
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We can't review individual test scores or grant access to the next round of interviews. The platform's grading system is designed to ensure fairness and accuracy. If you believe there was an error, please contact our support team for further assistance.",Customer Support,replied,product_issue,"The issue is related to customer support and a dispute over a test score, but it is not a billing or security-related issue.",Clean,Low,0,Clean
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Out of Scope,,escalated,product_issue,"The issue is not related to billing, fraud, account access, or any specific product feature. It's a dispute about a purchase made with a Visa card and the merchant's refusal to honor it.",Clean,Low,0,Clean
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"We apologize for the inconvenience, but our system has a time-out feature to ensure the integrity of your mock interviews. You can try restarting the interview or reaching out to our support team if the issue persists.",Interviews,replied,product_issue,The user's concern about their mock interviews stopping in between is related to the functionality of the Interviews product area.,Clean,Low,0,Clean
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Out of Scope,General Help,escalated,invalid,"The issue 'Give me my money' is related to a payment dispute and requires a financial transactional approach, which falls outside the scope of HackerRank's support.",Clean,Low,0,Clean
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We can provide guidance on the infosec process of your company, including filling in forms. Can you please provide more details about what specific information is required?",Information & Security,replied,product_issue,The issue is related to infosec and requires guidance.,Clean,Low,0,Clean
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,You are unable to see the 'Apply' tab because it is not currently available in your current environment. Please check back later.,Academy or Settings,replied,product_issue,"The issue is related to a specific feature within the Academy section, which seems to be unavailable. The support context suggests that this might be a temporary issue or a limitation on certain features.",Clean,Low,0,Clean
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Out of Scope,Execution Environment,escalated,product_issue,"The issue is related to the test environment, which is not explicitly mentioned as a category in the provided Knowledge Base.",Clean,Low,0,Clean
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Out of Scope,Settings,replied,product_issue,"The issue is related to a compatible check blocker, but the provided context only mentions HackerRank as the target company, and the issue description does not explicitly mention an error in settings or system configurations.",Clean,Low,0,Clean
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",General,HackerRank,We appreciate your interest in our company and would be happy to assist you with rescheduling your assessment. We'll need some more information from you to proceed.,General Help,replied,product_issue,"The issue is related to General Help, as the user is requesting assistance with a rescheduling of their assessment due to unforeseen circumstances.",Clean,Low,0,Clean
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,We can extend inactivity times to give interviewers and candidates more time to partner together without being kicked out of the room.,Interviews,replied,feature_request,"This is related to the Interviews product category, which suggests that this issue may be resolved by adjusting the settings within this product.",Clean,Low,0,Clean
"it’s not working, help",Help needed,General,Out of Scope,General,replied,invalid,"The issue 'it's not working, help' does not specify a clear technical problem or ecosystem (HackerRank, Claude, Visa), making it difficult to provide assistance.",Clean,Low,0,Clean
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer from the platform, you can try the following steps: First, navigate to the user's profile page. Then, click on their name and select the three dots. From there, choose 'Edit Profile'. Scroll down to the 'Teams' section and toggle off the 'Interviewer' box.",Security,replied,product_issue,"The provided support corpus does not explicitly mention removing an interviewer as a feature, but it provides instructions for editing profiles and accessing teams information.",Clean,Low,0,Clean
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,"We can pause your subscription. To do this, please go to your account settings and click on the 'Subscription' tab. From there, you should be able to pause or resume your subscription as needed.",Settings,replied,product_issue,"The issue is related to user account management, which falls under the Settings product area.",Clean,Low,0,Clean
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,Out of Scope,Claude,escalated,product_issue,"Issue is related to Claude not responding, but the provided corpus only contains general information about support and does not mention any product-specific issues.",Clean,Low,0,Clean
"My identity has been stolen, wat should I do",Identity Theft,Visa,Out of Scope,Security,replied,invalid,"The support ticket is asking for general advice on how to handle identity theft, which is not a specific issue related to the Visa product or service.",Clean,Low,0,Clean
Resume Builder is Down,Help in creating resume,HackerRank,The issue you're experiencing with the Resume Builder being down is currently Out of Scope. It's not a direct issue related to HackerRank's core services.,General Help,replied,product_issue,Resume Builder is not listed under any of the provided categories in the Knowledge Base.,Clean,Low,0,Clean
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,We'll be happy to assist you. Please provide the assessment ID and we'll update your certificate name.,Customer Support,replied,product_issue,"This issue falls under customer support, which is the most relevant category for this problem.",Clean,Low,0,Clean
